pinned maps at /sys/fs/bpf/kubescx
scx_kube loaded. Classify tasks with kubescx-agent, then Ctrl-C to unload.
enq lat=0 def=10 bg=0  disp lat=0 def=2 bg=0  idle=2 kick=0
enq lat=0 def=230 bg=0  disp lat=0 def=224 bg=0  idle=32 kick=0
enq lat=816 def=1310 bg=16  disp lat=815 def=1307 bg=13  idle=32 kick=38
enq lat=1629 def=2394 bg=25  disp lat=1629 def=2392 bg=22  idle=32 kick=81
enq lat=2494 def=3513 bg=41  disp lat=2494 def=3510 bg=38  idle=32 kick=126
enq lat=3231 def=4612 bg=46  disp lat=3231 def=4609 bg=43  idle=32 kick=154
enq lat=3938 def=5699 bg=52  disp lat=3938 def=5697 bg=49  idle=32 kick=187
enq lat=4876 def=6784 bg=66  disp lat=4875 def=6781 bg=63  idle=32 kick=225
enq lat=5621 def=7846 bg=75  disp lat=5621 def=7843 bg=72  idle=32 kick=261
enq lat=6391 def=8927 bg=83  disp lat=6390 def=8924 bg=80  idle=32 kick=294
enq lat=7079 def=10030 bg=92  disp lat=7078 def=10027 bg=89  idle=32 kick=331
enq lat=8020 def=11126 bg=104  disp lat=8020 def=11124 bg=101  idle=32 kick=377
enq lat=8736 def=12236 bg=120  disp lat=8735 def=12232 bg=117  idle=32 kick=431
enq lat=9488 def=13330 bg=129  disp lat=9488 def=13329 bg=126  idle=32 kick=470
enq lat=10343 def=14390 bg=145  disp lat=10342 def=14387 bg=142  idle=32 kick=500
enq lat=11099 def=15479 bg=148  disp lat=11099 def=15479 bg=145  idle=32 kick=535
enq lat=11879 def=16571 bg=158  disp lat=11878 def=16568 bg=155  idle=32 kick=578
enq lat=12693 def=17644 bg=171  disp lat=12693 def=17641 bg=168  idle=32 kick=620
enq lat=13405 def=18693 bg=183  disp lat=13404 def=18688 bg=180  idle=32 kick=655
enq lat=14254 def=19763 bg=193  disp lat=14254 def=19761 bg=190  idle=32 kick=687
enq lat=15011 def=20814 bg=201  disp lat=15010 def=20811 bg=198  idle=32 kick=720
enq lat=15862 def=21919 bg=212  disp lat=15861 def=21916 bg=209  idle=32 kick=756
enq lat=16572 def=23021 bg=221  disp lat=16572 def=23020 bg=218  idle=32 kick=789
enq lat=17444 def=24097 bg=233  disp lat=17444 def=24093 bg=230  idle=32 kick=822
enq lat=18159 def=25197 bg=243  disp lat=18159 def=25195 bg=240  idle=32 kick=862
enq lat=18862 def=26270 bg=251  disp lat=18861 def=26267 bg=248  idle=32 kick=900
enq lat=19651 def=27359 bg=266  disp lat=19650 def=27354 bg=263  idle=32 kick=937
enq lat=20461 def=28465 bg=274  disp lat=20461 def=28462 bg=271  idle=32 kick=975
enq lat=21309 def=29578 bg=279  disp lat=21309 def=29575 bg=276  idle=32 kick=1017
enq lat=22129 def=30644 bg=297  disp lat=22129 def=30641 bg=294  idle=32 kick=1053
enq lat=22989 def=31731 bg=309  disp lat=22988 def=31728 bg=306  idle=32 kick=1100
enq lat=23702 def=32794 bg=368  disp lat=23702 def=32794 bg=367  idle=36 kick=1142
enq lat=23702 def=32819 bg=872  disp lat=23702 def=32818 bg=871  idle=46 kick=1142
